DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
211507896,04/11/2021 12:00:00 AM,11/07/2020 12:00:00 AM,0845,15,N Hollywood,1502,2,354,THEFT OF IDENTITY,0377,31,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,7800    BEEMAN                       AV,,34.2124,-118.4092
201516622,10/21/2020 12:00:00 AM,10/18/2020 12:00:00 AM,1845,15,N Hollywood,1521,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0334 2004 1822 1414 0305 0319 0400,32,M,H,102,SIDEWALK,200,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,230,,,,ATOLL                        AV,N  GAULT,34.1993,-118.4203
240913563,12/10/2024 12:00:00 AM,10/30/2020 12:00:00 AM,1240,09,Van Nuys,0933,2,354,THEFT OF IDENTITY,0377,30,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,14600    SYLVAN                       ST,,34.1847,-118.4509
210704711,12/24/2020 12:00:00 AM,12/24/2020 12:00:00 AM,1310,07,Wilshire,0782,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344,47,F,A,101,STREET,,,IC,Invest Cont,331,,,,6000    COMEY                        AV,,34.0339,-118.3747
201418201,10/03/2020 12:00:00 AM,09/29/2020 12:00:00 AM,1830,14,Pacific,1454,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1300 0344 1606 2032,63,M,H,103,ALLEY,,,IC,Invest Cont,420,,,,4700    LA VILLA MARINA,,33.9813,-118.435
240412063,12/11/2024 12:00:00 AM,11/11/2020 12:00:00 AM,1210,04,Hollenbeck,0429,2,354,THEFT OF IDENTITY,0100,35,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,5300    CRONUS                       ST,,34.083,-118.1678
240317069,12/16/2024 12:00:00 AM,04/16/2020 12:00:00 AM,1350,03,Southwest,0396,2,354,THEFT OF IDENTITY,0100 0928 1822,21,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,900 W  40TH                         PL,,34.01,-118.29
201115217,10/29/2020 12:00:00 AM,07/07/2020 12:00:00 AM,1400,11,Northeast,1133,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1259 0448 0304 1822 0500 0522,14,F,H,121,YARD (RESIDENTIAL/BUSINESS),500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,812,860,,,3000    ACRESITE                     ST,,34.1107,-118.2589
241708596,04/20/2024 12:00:00 AM,03/02/2020 12:00:00 AM,1200,17,Devonshire,1729,2,354,THEFT OF IDENTITY,1501,43,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,17700    SIMONDS                      ST,,34.2763,-118.521
242113813,12/18/2024 12:00:00 AM,09/01/2020 12:00:00 AM,0900,21,Topanga,2196,2,354,THEFT OF IDENTITY,0930,57,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,20900    MARMORA                      ST,,34.1493,-118.5886
240605846,02/06/2024 12:00:00 AM,06/20/2020 12:00:00 AM,0001,06,Hollywood,0657,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0500 1251 0913 0522 0551 1259 0558,13,M,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,812,860,,,1000 N  RIDGEWOOD                    PL,,34.0878,-118.3146
242014110,12/18/2024 12:00:00 AM,11/17/2020 12:00:00 AM,1320,20,Olympic,2023,2,354,THEFT OF IDENTITY,0100 0928 1822,34,F,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,400 S  ARDMORE                      AV,,34.0672,-118.3016
202113531,09/06/2020 12:00:00 AM,09/05/2020 12:00:00 AM,1500,21,Topanga,2149,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,AA,Adult Arrest,510,,,,19700    VANOWEN                      ST,,34.1938,-118.5631
211607282,04/25/2021 12:00:00 AM,04/25/2021 12:00:00 AM,0300,16,Foothill,1675,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344,32,M,H,101,STREET,,,IC,Invest Cont,440,,,,10900    DORA                         ST,,34.2293,-118.3675
210614453,08/17/2021 12:00:00 AM,07/13/2021 12:00:00 AM,1525,06,Hollywood,0645,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822,49,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440,,,,1700 N  SYCAMORE                     AV,,34.1015,-118.3434
211115048,11/05/2021 12:00:00 AM,11/05/2021 12:00:00 AM,1700,11,Northeast,1146,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 0329,30,M,H,101,STREET,,,IC,Invest Cont,420,,,,BLAKE,BLIMP,34.0966,-118.2426
